Accession,TotInt_126C_Ecoli_12prot_MS2,TotInt_127N_Ecoli_12prot_MS2,TotInt_127C_Ecoli_12prot_MS2,TotInt_128N_Ecoli_12prot_MS2,TotInt_128C_Ecoli_12prot_MS2,TotInt_129N_Ecoli_12prot_MS2,TotInt_129C_Ecoli_12prot_MS2,TotInt_130N_Ecoli_12prot_MS2,TotInt_130C_Ecoli_12prot_MS2,TotInt_131N_Ecoli_12prot_MS2
P06733,998.7,1184.4,1224.6,1247,1383.2,1187.2,993.68,1363.9,1125.1,1106.7
P06733,135.74,3011.1,470.96,448.25,609.66,471.05,789.52,6940.5,321.07,770.35
Q14847,6793.2,3168.1,67720,1594.8,15011,115850,0,13821,2734.3,5987
Q96FW1,1959,29898,0,2823.8,5554.7,1865.6,1948.3,4251.5,55304,1241.4
Q96FW1,1506.1,21658,0,2375.9,4455.6,1638.1,1729.4,3230.7,44911,1003.5
P15311,30862,542.75,4725.7,0,1398.4,2908.6,1728.6,17925,84.661,451.24
P15311,11119,1275.7,2557.5,1340,1961.4,2518,2018.5,6690.6,1751.8,1932.8
P15311,40384,2189.4,7070.3,2173.3,3659,5904.8,5001.8,22790,2905.3,2568.4
P15311,18460,591.83,3709.7,110.29,1061.1,1927.7,1202.3,10530,504.23,848.76
Q9Y2W7,20312,1063.4,15996,205200,13319,27900,2370,8308.5,6113.3,126710
P05089,2453.3,429.82,45252,1295.6,4827.9,0,21417,213.2,3888.4,1858.5
P52292,3010,38834,999.07,5564.7,19874,824.4,1826.7,3428.5,899.23,2832.4
P06733,3389.8,192090,14572,12249,23717,17734,39881,435080,2287.2,40749
O60861,21058,4902.5,110490,7290.2,9638.9,91537,0,16559,1801.5,23771
O60861,2672,513.61,14731,1029,746.61,28650,757.01,2687.5,60.476,2767.2
P06733,0,12428,997.63,718.14,1295.4,1025.8,2270.4,29093,659.74,2790.8
Q9Y2W7,2104.7,629.61,1472.8,24166,845.82,2979,783.19,1081.8,959.51,15485
O15379,2769.2,3015.4,1272.5,1730.6,70924,1403.7,31525,5195.3,1437.2,5075.2
P15311,326010,10665,47680,3454.4,19658,35713,21904,173310,2310.3,8077.6
O60861,3392.2,798.33,14009,1115,1401.1,29285,0,3885.7,486.38,3597.7
Q14847,10195,3610.3,85953,1608.7,18977,173400,0,18675,3897.5,9362.8
P05089,6001.1,1685.8,103860,2455.9,13129,0,54803,454.94,10548,4393
Q15185,53103,0,6009.1,5266.9,10613,2431,577.87,11340,3163.3,111260
Q15185,23140,0,2670.7,1906.2,4932.6,766.41,77.759,5459.5,1074.6,54444
P15311,42218,1251.9,5281.4,62.391,2424.3,3616.2,3041.5,21120,912.1,833.2
P52292,9292,102810,827.88,13413,53194,1699,5523.2,9409.6,3366.8,8197.1
Q9Y2W7,27850,5186.7,21906,328350,19637,35758,5617.9,14581,11184,161960
P15090,1486.2,310.17,326.84,7601.1,953.09,359.99,491.24,593.66,18887,1876.5
P15311,173730,8615.6,26439,5594.6,12906,20463,15169,89388,5846.4,7258.9
Q9H0R8-2,9472.4,1062.5,7191.5,107390,23288,6240.3,203990,10154,11472,16816
Q9H0R8-2,586.86,70.329,455.96,6090.8,1265.6,307.12,12779,615.41,935.87,842.57
Q9Y2W7,78271,15593,62973,948960,41788,100300,20205,43216,34473,499850
Q96FW1,2371.4,41353,69.643,3086.5,8256.6,2199.9,2655.6,5800.3,70942,1324.1
P15311,5965.7,1565.2,1708.7,1933.3,1907,1718.1,2104.2,4293.7,1161.4,1136.1
P06733,274.34,98074,5260.3,5016.9,11363,7486.4,19802,232350,260.42,21088
P15311,78145,1913.3,12237,367.67,4025.9,7791.3,4770.6,40972,0,1444.7
P52292,6073.7,72281,884.32,11350,34204,1280,3623,6675.4,1775.8,5661.7
P15311,29018,770.38,4584.4,31.901,1542,2667.3,1795.9,13705,0,458.01
O60861,14767,4982.2,56546,6502,8103.3,100900,0,14684,4055.8,10118
P15311,212620,6268.5,38333,1811.2,11942,22712,14234,114570,643.47,6536.5
Q14847,2459.9,858.68,20761,556.31,4084.6,44915,0,4342.9,1053.9,2301.4
P15090,5783.6,2417.3,2426.6,43256,680.58,2600.4,2067.4,3421.3,82385,6722.9
P15311,72785,1534.8,9910.8,103.97,3656.7,6630.2,5007.9,40439,0,1328.3
Q96FW1,13624,192690,944.27,15769,35341,12495,14407,27356,339050,6966.9
P15311,26553,1674.4,6844.8,732.24,2398.5,3346.2,2563.4,14060,0,1526.2
O15379,3626.2,5129.3,4669.3,3238.8,106550,2366.2,53486,9218.3,3206.6,7946.7
Q9H0R8-2,1774.5,113.7,1285.5,18086,4503,1054.8,40572,2062.1,2500.9,3077.1
P06733,0,6536.7,560.45,465.31,724.37,545.17,1243.5,17082,350.95,2020.3
P15311,242300,5665.7,37689,763.93,11865,23971,15179,123380,0,4860.5
P52292,10620,124770,1477.3,14982,61875,1862.6,6140.7,12510,3675.7,9878.1
Q96FW1,2767,43253,0,4307.4,9135,2341.5,2934.9,6778.6,80203,1599.3
Q15185,2490.1,131.55,353.52,384.25,560.37,152.27,126.69,693.42,386.24,5645.7
P15311,76665,2272.4,11330,96.876,3498.3,7391.4,4755.7,40342,0,1274.1
Q14847,2983.5,937.24,26758,562.09,6443.1,53983,0,6244.3,1412.5,2659.4
O15379,6395.2,7356.4,2423.3,0,199390,2684.9,85093,14255,1986.2,12431
P52292,1788.9,18971,373.81,3096.5,9659.4,650.14,1272.8,2180,692.02,1812
P06733,69.667,51045,2714.7,4253.2,5966.4,4720.5,11135,127920,0,15160
O15379,1341.6,2200.8,890.74,1180.6,46782,850.66,23864,3268.7,1189.5,3431.8
O60861,5778.4,933.66,30935,1267.1,2373.9,36671,997.11,4545.1,79.941,5792.8
Q15185,3727.1,0,816.01,147.55,701.01,130.75,87.24,956.43,320.15,9001.3
Q9Y2W7,13168,1074.6,9018.1,158170,2470.5,18685,1679,5824.1,4269.8,75734
Q9Y2W7,11336,767.64,8812.4,145340,6284.4,12817,886.7,4500.3,3101.7,70325
P15311,152900,4216,21729,325.2,7211.7,14471,8672.8,80418,0,2753.5
P15311,22926,475.52,4429.5,0,1405.1,2440.6,1166.4,10686,390.14,558.25
P15311,24524,2112.1,5297.8,1399.4,2978.8,3740.8,2779.5,14518,1717.4,1768.5
O15379,2644.4,3574,1300.1,2231.7,92653,1496.1,46260,7191,2612.6,7294
P15311,168010,4225.8,23925,159.55,8593,17019,9523.4,95092,0,2875.1
P52292,1274,10668,1642.7,2080.2,5382.4,468.37,857.48,1290.7,786.46,1289.6
O60861,52946,9386.1,264230,16832,17414,519860,0,50901,855.65,53317
P06733,83.43,44438,388.35,3040.3,4862.1,3611,9027.5,106650,443.81,10482
O15379,1128.7,1403,337.59,921.37,26871,785.66,12674,1816.9,448.85,1812.2
P06733,742.05,100160,413.18,5859.8,12350,9485.2,21088,232750,0,22990
P15311,42514,871.23,6502.6,35.662,2112.6,4313.7,2328.3,22977,175.6,864.05
P15311,36710,1977,6390.1,1248.7,3868.1,5106.4,3656.2,22543,2392,2355.5
Q96FW1,375.09,5984,0,606.72,1037.3,299.01,373.33,986.12,9854.5,337.06
