Accession,TotInt_126C_Ecoli_12prot_MS3,TotInt_127N_Ecoli_12prot_MS3,TotInt_127C_Ecoli_12prot_MS3,TotInt_128N_Ecoli_12prot_MS3,TotInt_128C_Ecoli_12prot_MS3,TotInt_129N_Ecoli_12prot_MS3,TotInt_129C_Ecoli_12prot_MS3,TotInt_130N_Ecoli_12prot_MS3,TotInt_130C_Ecoli_12prot_MS3,TotInt_131N_Ecoli_12prot_MS3
O15379,37114,45120,21912,22104,1057200,20910,497610,81025,24242,76614
O60861,339620,72120,1635900,115940,118860,2954800,37773,309850,18570,340880
P05089,37548,8441.3,681430,18043,86431,1755.1,350370,3344.6,70312,34061
P06733,18152,1049000,71960,91218,144140,102520,229620,2478500,18467,272190
P15090,51387,22055,21841,395150,11415,28106,22137,21779,749970,67514
P15311,4263800,131290,685470,39370,245090,443910,286280,2270600,31860,115560
P52292,107290,1221200,8020.3,169500,618410,15201,58505,115830,29413,89265
Q14847,98304,37361,833960,23145,202010,1624500,1451.5,195720,39605,92688
Q15185,177630,674.7,22742,17117,37122,8079.3,2414.1,42245,10443,398180
Q96FW1,32894,475790,1626.4,39216,89832,29415,35189,69459,847740,18101
Q9H0R8-2,21248,1808.7,15999,245560,51327,16271,481910,25079,31683,39567
Q9Y2W7,222810,29163,174760,2708300,112420,295120,37547,110540,83032,1423700
P00350,347720,402800,351460,397100,466210,360130,436920,423560,392180,385010
P00363,97639,99927,89957,106910,119200,91111,109720,111460,97817,98277
P00370,156180,151030,156180,169700,184640,157600,183660,177920,159230,164610
P00393,15837,13301,14705,14592,18008,14673,16927,15911,14902,15470
P00448,131990,143730,140620,133890,158420,129580,148040,164120,147300,141990
P00452,517450,487420,514320,542330,588680,481670,586060,583260,514190,558360
P00490,316950,310580,326960,341200,357360,330680,374590,373030,323370,345550
P00509,305070,310440,293890,340700,373710,282740,366520,356140,303270,301410
P00547,6064.6,7352.2,5228.7,7742,8520.2,6102.1,7236.6,7820,6372.6,5811.5
P00561,89612,83954,81962,97622,99308,86094,102690,98592,86726,89735
P00562,73529,71754,68853,79358,86479,55357,84547,82655,72260,71382
