TotInt_126C_MAN1353,TotInt_127N_MAN1353,TotInt_127C_MAN1353,TotInt_128N_MAN1353,TotInt_128C_MAN1353,TotInt_129N_MAN1353,TotInt_129C_MAN1353,TotInt_130N_MAN1353,TotInt_130C_MAN1353,TotInt_131N_MAN1353
224065.4211,181106.7107,11877.56287,10662.32132,127178.4282,80093.17468,4714.032348,2161.908203,38380.13153,16781.26959
158036.5195,124639.7754,6449.696534,5134.66687,95847.80273,67879.23438,3455.89209,1131.386994,30899.3374,17607.4585
96648.15112,82651.3457,5968.152222,6203.92688,59758.28711,49650.93268,2886.24057,1236.647339,16564.13587,8115.870056
273315.7847,219951.8174,16028.7135,14244.96289,166214.8528,124175.2979,4508.147309,4122.992553,52746.58325,30461.37915
35904.47412,28206.40649,2853.710327,850.490112,22334.2467,16423.3089,747.47406,50,6953.92572,3169.871582
513687.3281,411377.0986,26744.13132,22424.04373,319077.328,217955.0184,3382.688537,6406.790222,104423.366,56490.87659
827935.0649,648672.5811,33381.76645,26460.89499,509572.4196,345815.5731,14356.87399,8329.182983,166327.6498,91180.73563
75457.75049,60908.76001,6600.942017,6158.944946,46496.57239,38892.30054,2018.805664,2385.654724,16070.21222,8492.672241
50782.00977,39287.75293,2470.817077,1931.336548,29182.20898,24793.52686,711.398743,50,10489.9812,3893.000489
210283.542,176438.9653,11164.68445,12401.06158,131867.0942,99375.54285,5860.324951,1513.014222,37821.27319,22608.94666
2862.29541,2383.862305,50,50,1156.972534,486.572723,50,50,50,50
419554.4553,337560.1188,16486.9137,17318.18649,250948.8962,186279.6394,9194.123674,4361.461793,77639.24573,37535.81418
80667.20459,75043.04736,4028.013917,1450.218994,56982.58716,43189.19067,584.466553,1042.190125,15131.08899,9216.026704
12444.53418,7396.792969,1894.849976,50,7239.552246,4789.519043,50,50,3178.390137,798.763489
12050.77734,9843.262696,50,381.176941,8163.010498,4637.769653,50,50,1512.772919,905.645203
104300.5894,86642.35547,5941.248443,4637.810577,60821.95703,44903.51099,2420.849854,507.607391,21363.36011,10998.34714
1818633.455,1396650.69,90166.70487,82190.10144,1071575.127,738236.4761,43528.72974,22993.53464,363176.5723,203056.7019
42867.01953,35036.75391,2705.642822,2863.060059,28805.04688,18697.64453,2950.829102,470.342468,10631.25,4992.768555
0,0,0,0,0,0,0,0,0,0
174943.209,118380.7412,11153.75189,7689.284363,91798.35645,58323.53174,5921.558594,3084.974732,34498.87646,18649.87445
509949.1885,504375.5483,12411.832,26726.25909,355680.4712,280352.4634,2652.819702,10357.20471,98983.09552,51328.99906
