TotInt_126C_MAN1353,TotInt_127N_MAN1353,TotInt_127C_MAN1353,TotInt_128N_MAN1353,TotInt_128C_MAN1353,TotInt_129N_MAN1353,TotInt_129C_MAN1353,TotInt_130N_MAN1353,TotInt_130C_MAN1353,TotInt_131N_MAN1353
0,0,0,0,0,0,0,0,0,0
8579.126953,7949.053223,498.171814,0,4467.20459,4774.410645,0,0,2392.790527,845.659363
161074.9746,122752.041,12439.29663,9373.577637,96014.11328,60888.70899,5689.335327,3228.901062,33713.83203,19155.48437
122836.9766,97657.27344,10970.48731,6480.228516,76401.46875,45755.28125,4688.463379,3064.957031,26347.45117,14159.8291
0,0,0,0,0,0,0,0,0,0
65827.29688,48058.56641,3259.810547,4213.883301,42236.75,23248.34766,2858.835449,961.385742,11669.91504,8562.118164
108823.3948,81104.58569,6884.608887,5385.867188,67324.41162,42033.25287,3847.234863,1944.722778,21661.11896,14158.55072
38069.21191,28553.76856,1863.118042,1501.798676,22085.62647,13924.16992,781.37561,433.620667,8394.343995,4910.108033
0,0,0,0,0,0,0,0,0,0
59434.32422,48451.23828,1030.716797,2057.098877,38671.80469,28593.75391,1116.404419,0,12209.50391,7378.37207
30892.21289,29125.60352,2913.271973,2022.543457,22506.67969,19990.31445,0,804.331726,6795.717773,3146.487793
36901.83594,27570.51172,2378.847656,1202.591309,22102.41016,16219.90332,2164.852539,0,7363.014648,3463.239502
16890.03906,12126.70508,1210.608643,411.217407,8961.776367,7678.862793,488.467712,536.318604,3257.107422,875.346619
3379.306641,2449.821045,445.511169,0,2311.996826,2048.047363,0,0,556.242676,0
2407.985107,2573.474365,0,0,484.861023,769.053101,0,0,830.002197,0
72247.02539,60839.24219,8590.444825,5255.939942,45429.22852,28626.37988,2365.877319,785.350342,15572.14893,8327.334472
0,0,0,0,0,0,0,0,0,0
22694.79297,16131.56055,940.795776,616.944336,12987.28223,9135.605469,533.551758,0,4272.75,2611.597412
430241.7188,347732.7813,0,11986.27441,264645.1875,178662.7813,0,4668.570312,90798.39063,49218.78516
99619.59375,91268.85938,6681.467285,5332.39502,65756.09375,46574.67969,2491.836182,1921.806152,21149.41992,12106.31836
131825.9375,121927.1328,0,6179.218262,82732.88281,61461.97656,2773.640625,774.413757,26139.86328,14488.47363
0,0,0,0,0,0,0,0,0,0
461229.959,354720.2617,9879.406067,17774.41986,271728.5615,190068.0703,3993.826874,6315.771667,92271.78955,55349.48975
28246.04297,23545.16211,2828.616211,867.453491,17795.20313,12763.42773,0,0,4869.577148,2082.024902
33659.89063,27101.99805,3441.568115,2319.024658,21021,14081.03027,755.462097,0,7219.887207,3290.060303
8440.232422,5120.995605,0,583.117249,5201.483398,3490.415039,0,0,974.634155,556.547974
103077.1719,103992.1895,8016.423096,7050.818359,74646.78516,54685.60156,3282.13617,2680.774902,17967.46729,11791.17236
0,0,0,0,0,0,0,0,0,0
387894.9258,291794.9434,7793.690918,11872.7395,208292.8496,134503.1045,8134.734986,3390.105652,72895.25,40364.34863
88277.33594,67204.85938,0,2254.0896,50245.44141,34855.10156,1868.849854,1000.470642,18676.13672,12347.0166
0,0,0,0,0,0,0,0,0,0
6760.320068,3134.716309,0,0,4504.763916,2108.005981,0,0,527.505249,0
129970.2305,103446.2969,2064.50293,2006.275024,76526.73242,58768.05273,969.83844,0,25467.73828,16022.35596
93726.98438,65613.67188,7215.041016,5981.153809,57555.55859,32511.06055,3254.554688,2548.794678,20450.49805,9660.516602
145762.0625,97870.10156,5525.605957,2620.891846,79037.57813,45721.30859,2539.628174,0,28244.45508,15719.51367
0,0,0,0,0,0,0,0,0,0
21795.9502,19556.02954,428.901459,0,12127.51038,8983.049682,0,0,2870.727783,426.073547
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
53930.35156,43755.32813,3947.962891,3978.332764,35748.98438,25729.44727,1250.851685,0,9368.143555,6973.42627
23571.82813,21596.13672,2007.641235,887.117493,13231.04785,11769.49902,428.52652,0,4871.613281,2303.991699
0,0,0,0,0,0,0,0,0,0
